Generic_Name,Pregnancy_Risk,Trimester,Recommendation,Clinical_Notes,Evidence_Level,Primary_Reference,Status
Paracetamol,Safe,All,Continue,Preferred analgesic and antipyretic during pregnancy when used at the lowest effective dose for the shortest duration.,High,SmPC,Active
Metformin,Use with Caution,All,Monitor,May be used during pregnancy when clinically indicated especially in women with diabetes under medical supervision.,High,SmPC,Active
Aspirin,Use with Caution,First and Second,Consult Doctor,Low-dose aspirin may be prescribed for specific obstetric indications but routine use requires medical supervision.,High,BNF,Active
Ramipril,Contraindicated,All,Avoid,ACE inhibitors should not be used during pregnancy because of risk of serious fetal harm especially after the first trimester.,High,FDA Label,Active
Pantoprazole,Use with Caution,All,Consult Doctor,May be considered if clinically indicated when benefits outweigh potential risks.,Moderate,SmPC,Active
Atorvastatin,Contraindicated,All,Avoid,Statins should be discontinued during pregnancy because they may affect fetal development.,High,FDA Label,Active
Amlodipine,Use with Caution,All,Consult Doctor,Use only if the expected maternal benefit outweighs potential fetal risk.,Moderate,SmPC,Active
Amoxicillin,Safe,All,Continue,Widely used during pregnancy when clinically indicated and generally considered safe.,High,BNF,Active
Cefixime,Use with Caution,All,Consult Doctor,Use when clinically indicated under medical supervision as human data are limited.,Moderate,SmPC,Active
Pregabalin,Contraindicated,All,Avoid,Avoid during pregnancy unless no safer alternative exists because fetal risk cannot be excluded.,High,FDA Label,Active
Aceclofenac + Paracetamol,Contraindicated,Third,Avoid,NSAID-containing combinations should be avoided during the third trimester because of fetal cardiovascular and renal risks.,High,BNF,Active
Chlorzoxazone + Diclofenac + Paracetamol,Contraindicated,Third,Avoid,Avoid during pregnancy particularly in the third trimester because of NSAID exposure and limited safety data for chlorzoxazone.,High,SmPC,Active
Telmisartan + Amlodipine,Contraindicated,All,Avoid,Telmisartan is contraindicated during pregnancy because of fetal toxicity associated with renin-angiotensin system blockade.,High,FDA Label,Active